id    ,name_en_CA                           ,name_fr_CA                           ,lat   ,lon     ,province,city                    ,address
91101 ,Elk Island National Park             ,Parc national Elk Island             ,53.682,-112.868,9       ,Elk Island              ,NATIONAL PARK
91301 ,Tomahawk                             ,Tomahawk                             ,53.373,-114.768,9       ,Tomahawk                ,SE 2 51 6 W5
91401 ,Violet Grove                         ,Violet Grove                         ,53.142,-115.138,9       ,Violet Grove            ,SE 17 48 08 W5
91501 ,Beaverlodge                          ,Beaverlodge                          ,55.197,-119.394,9       ,Beaverlodge             ,BEAVERLODGE RESEARCH FARM
91601 ,Carrot Creek                         ,Carrot Creek                         ,53.607,-115.877,9       ,Carrot Creek            ,SE 31 53 13 W5
91701 ,Steeper                              ,Steeper                              ,53.133,-117.091,9       ,Steeper                 ,NE 12 48 22 W5
91801 ,Fort Chipewyan                       ,Fort Chipewyan                       ,58.700,-111.133,9       ,Fort Chipewyan          ,FORT CHIPEWYAN
91901 ,Caroline                             ,Caroline                             ,51.950,-114.700,9       ,Caroline                ,16-30-034-5 W5
92001 ,Grande Prairie - Henry Pirker Station,Grande Prairie - Henry Pirker Station,55.177,-118.806,9       ,Grande Prairie          ,10327 - 107 AVENUE
92201 ,Lamont County                        ,Comt de Lamont                       ,53.760,-112.880,9       ,Lamont                  ,RGE RD 203 & TWP RD 550
92601 ,Breton                               ,Breton                               ,53.090,-114.461,9       ,Breton                  ,Highway 20
92801 ,Drayton Valley                       ,Drayton Valley                       ,53.220,-114.972,9       ,                        ,
92901 ,Edson                                ,Edson                                ,53.587,-116.431,9       ,                        ,
93101 ,Genesee                              ,Genesee                              ,53.302,-114.221,9       ,Thorsby                 ,Range Road 15
93202 ,Hinton                               ,Hinton                               ,53.427,-117.544,9       ,Hinton                  ,
93801 ,Meadows                              ,Meadows                              ,53.530,-114.636,9       ,Warburg                 ,Range Road 34
93901 ,Power                                ,Power                                ,53.633,-114.420,9       ,Thorsby                 ,Range Road 11
94202 ,Wagner 2                             ,Wagner 2                             ,53.494,-114.450,9       ,                        ,
94301 ,Cold Lake South                      ,Cold Lake South                      ,54.458,-110.174,9       ,Bonnyville              ,5105-50th Avenue
94401 ,St. Lina                             ,St. Lina                             ,54.216,-111.503,9       ,                        ,
100103,New Westminster                      ,New Westminster                      ,49.227,-122.894,10      ,New Westminster         ,"351 E. Columbia Street, New Westminster, BC"
100110,Kensington Park                      ,Kensington Park                      ,49.279,-122.971,10      ,GVRD - Burnaby          ,6400 E. HASTINGS & KENSINGTON
100111,Rocky Pt. Park                       ,Rocky Pt. Park                       ,49.281,-122.849,10      ,GVRD - Port Moody       ,MOODY & ESPLANADE PORT MOODY
100112,Robson Square                        ,Robson Square                        ,49.282,-123.121,10      ,GVRD - Vancouver        ,ROBSON/HORNBY
100118,Kitsilano                            ,Kitsilano                            ,49.262,-123.163,10      ,GVRD - Vancouver        ,2550 WEST 10TH AVENUE
100119,Burnaby South                        ,Burnaby South                        ,49.215,-122.986,10      ,GVRD - Burnaby          ,5455 RUMBLE STREET
100121,Second Narrows                       ,Second Narrows                       ,49.302,-123.020,10      ,GVRD - Vancouver        ,75 RIVERSIDE DR. N. VANCOUVER
100125,North Delta                          ,North Delta                          ,49.158,-122.902,10      ,GVRD - Delta            ,8544 116TH AVE. DELTA
100126,Burnaby Mountain                     ,Burnaby Mountain                     ,49.280,-122.922,10      ,GVRD - Burnaby          ,RING ROAD BURNABY
100127,Surrey East                          ,Surrey East                          ,49.133,-122.694,10      ,GVRD - Surrey           ,19000 & 72ND AVE. SURREY
100128,Richmond South                       ,Richmond South                       ,49.142,-123.108,10      ,GVRD - Richimond        ,WILLIAMS & ARAGON RICHMOND
100132,Mahon Park                           ,Mahon Park                           ,49.324,-123.084,10      ,GVRD - Vancouver        ,16TH ST. & JONES AVE NORTH VAN
100134,Vancouver Intl. Airport              ,Vancouver Intl. Airport              ,49.186,-123.152,10      ,GVRD - Richmond         ,3153 TEMPLETON STREET
100135,Coquitlam                            ,Coquitlam                            ,49.288,-122.791,10      ,GVRD - Coquitlam        ,1250 PINETREE WAY
100138,Horsheshoe Bay                       ,Horsheshoe Bay                       ,49.368,-123.276,10      ,GVRD - Vancouver West   ,6350 MARINE DRIVE
100140,Tsawwassen                           ,Tsawwassen                           ,49.010,-123.082,10      ,GVRD - Vancouver        ,
100202,Prince George Plaza 400              ,Prince George Plaza 400              ,53.915,-122.742,10      ,Prince George           ,1011 4TH AVENUE
100203,Prince George BC Rail Warehouse      ,Prince George BC Rail Warehouse      ,53.871,-122.744,10      ,Prince George           ,1108 INDUSTRIAL WAY
100205,Prince George Gladstone School       ,Prince George Gladstone School       ,53.858,-122.761,10      ,Prince George           ,GLADSTONE SCHOOL
100206,Prince George Lakewood               ,Prince George Lakewood               ,53.916,-122.796,10      ,Prince George           ,LAKEWOOD
100212,Prince George Marsulex Acid Plant    ,Prince George Marsulex Acid Plant    ,53.842,-122.734,10      ,Prince George           ,
100213,Prince George Denicola Ranch         ,Prince George Denicola Ranch         ,53.935,-122.681,10      ,Prince George           ,
100214,Prince George Exploration Place      ,Prince George Exploration Place      ,53.905,-122.734,10      ,Prince George           ,
100304,Victoria Topaz                       ,Victoria Topaz                       ,48.443,-123.363,10      ,Victoria                ,923 TOPAZ
100308,Colwood City Hall                    ,Colwood City Hall                    ,48.424,-123.493,10      ,Victoria                ,3300 WISHART ROAD
100312,Esquimalt Graving Dock               ,Esquimalt Graving Dock               ,48.437,-123.422,10      ,Esquimalt               ,825 Admirals Road
100401,Kamloops Federal Building            ,Kamloops Federal Building            ,50.674,-120.333,10      ,Kamloops                ,317 SEYMOUR ST.
100701,Kelowna College                      ,Kelowna College                      ,49.861,-119.475,10      ,Kelowna                 ,3333 COLLEGE WAY
101003,Central Abbotsford                   ,Central Abbotsford                   ,49.043,-122.310,10      ,GVRD - Abbotsford       ,32995 BEVAN AVE.
101005,Abbotsford Airport                   ,Abbotsford Airport                   ,49.022,-122.327,10      ,Abbotsford              ,1073 Columbia St
101101,Chilliwack Airport                   ,Chilliwack Airport                   ,49.156,-121.941,10      ,GVRD-Chilliwack         ,46244 AIRPORT ROAD
101202,Pitt Meadows                         ,Pitt Meadows                         ,49.245,-122.709,10      ,Pitt Meadows            ,18477 DEWDNY TRUNK
101301,Langley Central                      ,Langley Central                      ,49.096,-122.566,10      ,Langley                 ,23752 52ND AVENUE
101401,Hope Airport                         ,Hope Airport                         ,49.370,-121.499,10      ,Hope                    ,62715 AIRPORT ROAD
101501,Maple Ridge                          ,Maple Ridge                          ,49.215,-122.582,10      ,Maple Ridge             ,23124 118TH AVENUE
101603,Squamish Elementary                  ,Squamish Elementary                  ,49.705,-123.151,10      ,Squamish                ,38370 Buckley Ave
101701,Quesnel Senior Secondary             ,Quesnel Senior Secondary             ,52.819,-122.492,10      ,Quesnel                 ,585 CALLANAN STREET
101702,Quesnel Maple Drive                  ,Quesnel Maple Drive                  ,52.963,-122.451,10      ,Quesnel                 ,950 MOUNTAIN ASH ROAD
